city,tcac_code,sipsa_name,exito_name
Bogotá,C060,Melón Cantalup,Melón Cantalup
Bogotá,E030,"Merluza, filete nacional","Merluza, filete nacional"
Bogotá,C061,Mora de Castilla,Mora de Castilla
Bogotá,N/A,Muslos de pollo sin rabadilla,Muslos de pollo sin rabadilla
Bogotá,C062,Naranja Sweet,Naranja Sweet
Bogotá,N/A,Naranja Valencia,Naranja Valencia
Bogotá,N/A,Nicuro fresco,Nicuro fresco
Bogotá,N/A,Palmitos de mar,Palmitos de mar
Bogotá,N/A,Panela cuadrada morena,Panela cuadrada morena
Bogotá,B071,Papa criolla limpia,Papa criolla lavada
Bogotá,B071,Papa criolla sucia,Papa criolla sucia
Bogotá,B074,Papa parda pastusa,Papa parda pastusa
Bogotá,N/A,Papa R-12 negra,Papa R-12 negra
Bogotá,N/A,Papa R-12 roja,Papa R-12 roja
Bogotá,N/A,Papa rubí,Papa rubí
Bogotá,N/A,Papa sabanera,Papa sabanera
Bogotá,N/A,Papa superior,Papa superior
Bogotá,B074,Papa única,Papa
Bogotá,N/A,Papaya Paulina,Papaya Paulina
Bogotá,N/A,Papaya tainung,Papaya tainung
Bogotá,E043,Pargo rojo entero congelado,Pargo
Bogotá,A072,Pastas alimenticias,Pastas alimenticias
Bogotá,C079,Patilla,Sandía
Bogotá,C079,Patilla baby,Patilla baby
Bogotá,F085,Pechuga de pollo,Pechuga de pollo
Bogotá,B077,Pepino cohombro,Pepino cohombro
Bogotá,N/A,Pepino de rellenar,Pepino de rellenar
Bogotá,C071,Pera importada,Pera importada
Bogotá,N/A,Pera nacional,Pera nacional
Bogotá,N/A,Perejil,Perejil
Bogotá,E002,Pescado cabezas,Pescado cabezas
Bogotá,F091,Pierna pernil con rabadilla,Pierna pernil con rabadilla
Bogotá,N/A,Pierna pernil sin rabadilla,Pierna pernil sin rabadilla
Bogotá,F091,Piernas de pollo,Piernas de pollo
Bogotá,B080,Pimentón,Pimentón
Bogotá,C072,Piña gold,Piña gold
Bogotá,N/A,Piña perolera,Piña perolera
Bogotá,N/A,Pitahaya,Pitahaya
Bogotá,N/A,Plátano guineo,Plátano guineo
Bogotá,N/A,Plátano hartón maduro,Plátano maduro
Bogotá,B092,Plátano hartón verde,Plátano verde
Bogotá,N/A,Plátano hartón verde llanero,Plátano verde
Bogotá,N/A,Pollo entero fresco sin vísceras,Pollo entero fresco sin vísceras
Bogotá,G017,Queso campesino,Queso campesino
Bogotá,G018,Queso costeño,Queso costeño
Bogotá,G016,Queso cuajada,Queso cuajada
Bogotá,G021,Queso doble crema,Queso doble crema
Bogotá,N/A,Rábano rojo,Rábano rojo
Bogotá,N/A,Remolacha,Remolacha
Bogotá,N/A,Repollo morado,Repollo morado
Bogotá,N/A,Repollo verde,Repollo verde
Bogotá,N/A,"Róbalo, filete congelado","Róbalo, filete congelado"
Bogotá,L015,Sal yodada,Sal yodada
Bogotá,E038,"Salmón, filete congelado",Filete salmón
Bogotá,L017,Salsa de tomate doy pack,Salsa de tomate doy pack
Bogotá,E039,Sardinas en lata,Sardinas en lata
Bogotá,E041,Sierra entera congelada,Sierra
Bogotá,N/A,Sopa de pollo (caja),Sopa de pollo (caja)
Bogotá,N/A,Tangelo,Tangelo
Bogotá,E043,Tilapia roja entera congelada,Tilapia
Bogotá,N/A,Tilapia roja entera fresca,Tilapia roja entera fresca
Bogotá,E030,"Tilapia, filete congelado","Tilapia, filete congelado"
Bogotá,B103,Tomate chonto,Tomate chonto
Bogotá,C082,Tomate de árbol,Tomate de árbol
Bogotá,B103,Tomate larga vida,Tomate larga vida
Bogotá,E047,Trucha en corte mariposa,Trucha en corte mariposa
Bogotá,N/A,Uchuva con cáscara,Uchuva con cáscara
Bogotá,C085,Uva importada,Uva importada
Bogotá,C086,Uva Isabela,Uva Isabela
Bogotá,C085,Uva red globe nacional,Uva red globe nacional
Bogotá,N/A,Uva verde,Uva verde
Bogotá,N/A,Yuca llanera,Yuca llanera
Bogotá,B110,Zanahoria,Zanahoria
Bucaramanga,D013,Aceite vegetal mezcla,Aceite vegetal mezcla
Bucaramanga,N/A,Acelga,Acelga
Bucaramanga,C002,Aguacate papelillo,Aguacate papelillo
Bucaramanga,B006,Ahuyama,Ahuyama
Bucaramanga,N/A,Ahuyamín (Sakata),Ahuyamín (Sakata)
Bucaramanga,N/A,Ajo importado,Ajo importado
Bucaramanga,N/A,Alas de pollo sin costillar,Alas de pollo sin costillar
Bucaramanga,B014,Apio,Apio
Bucaramanga,B015,Arracacha amarilla,Arracacha amarilla
Bucaramanga,A010,Arroz de primera,Arroz de primera
Bucaramanga,N/A,Arroz excelso,Arroz excelso
