city,tcac_code,sipsa_name,exito_name
Bogotá,N/A,Plátano hartón verde llanero,Plátano hartón verde llanero
Bogotá,N/A,Pollo entero fresco sin vísceras,Pollo entero fresco sin vísceras
Bogotá,G017,Queso campesino,Queso campesino
Bogotá,G018,Queso costeño,Queso costeño
Bogotá,G016,Queso cuajada,Queso cuajada
Bogotá,G021,Queso doble crema,Queso doble crema
Bogotá,N/A,Rábano rojo,Rábano rojo
Bogotá,N/A,Remolacha,Remolacha
Bogotá,N/A,Repollo morado,Repollo morado
Bogotá,N/A,Repollo verde,Repollo verde
Bogotá,N/A,"Róbalo, filete congelado","Róbalo, filete congelado"
Bogotá,L015,Sal yodada,Sal yodada
Bogotá,E038,"Salmón, filete congelado",Filete salmón
Bogotá,L017,Salsa de tomate doy pack,Salsa de tomate doy pack
Bogotá,E039,Sardinas en lata,Sardinas en lata
Bogotá,E041,Sierra entera congelada,Sierra
Bogotá,N/A,Sopa de pollo (caja),Sopa de pollo (caja)
Bogotá,N/A,Tangelo,Tangelo
Bogotá,N/A,Tilapia roja entera fresca,Tilapia roja entera fresca
Bogotá,B103,Tomate chonto,Tomate chonto
Bogotá,C082,Tomate de árbol,Tomate de árbol
Bogotá,E047,Trucha en corte mariposa,Trucha en corte mariposa
Bogotá,N/A,Uchuva con cáscara,Uchuva con cáscara
Bogotá,C085,Uva importada,Uva importada
Bogotá,C086,Uva Isabela,Uva Isabela
Bogotá,N/A,Uva verde,Uva verde
Bogotá,N/A,Yuca llanera,Yuca llanera
Bogotá,B110,Zanahoria,Zanahoria
